"Store","Department","Recipe Name","Old Price","New Price","Selling","New GP"
"Springbok Superspar","Sushi","COMBO  6",42.318726869213535,42.32910434921353,99.99,51.316661664570894,
"Springbok Superspar","Sushi","COMBO  7",39.36322494486672,39.37360242486672,99.99,54.71582879428271,
"Springbok Superspar","Sushi","COMBO  9",41.54085493791299,41.55123241791299,109.99,56.556125756341544,
"Springbok Superspar","Sushi","COMBO 10",53.109014228752635,53.12976918875263,145.99,58.14834264876668,
"Springbok Superspar","Sushi","COMBO 11",59.35084779996248,59.371602759962485,184.99,63.09133295099365,
"Springbok Superspar","Sushi","COMBO  4 Salmon",58.025118773883335,58.030307513883336,109.99,39.32643545689078,
"Springbok Superspar","Sushi","COMBO 12 Salmon",70.1331460331391,70.1642784731391,199.99,59.65352255407272,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.946020101405113,14.997907501405113,84.99,79.70632588938007,
"Springbok Superspar","Sushi","TUB WASABI",51.965019999999996,52.925148,99.99,39.129992799279925,
"Springbok Superspar","Sushi","COMBO  5",32.61404703875242,32.623840344352416,99.99,62.47883148714344,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",104.33038367740029,104.34997028860029,200.0,39.99876708405484,
"Springbok Superspar","Sushi","COMBO  3 Salmon",38.05358464217397,38.06337794777397,84.99,48.496429415295836,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",43.80119279218213,43.80638153218213,119.99,58.01538564712939,
"Springbok Superspar","Sushi"," COMBO 1 (BILTONG)",22.12452541009368,22.129714150093672,59.99,57.57764415301263,
"Springbok Superspar","Sushi","COMBO  2 SALMON",20.308128115791106,20.31331685579111,69.99,66.62335421608833,
"Springbok Superspar","Sushi","COMBO  1 AVO",10.544867913893833,10.550056653893833,45.0,73.03874410671575,
"Springbok Superspar","Sushi","COMBO  1 CRABSTICK",12.637197488916392,12.642386228916392,45.0,67.69167963721367,
"Springbok Superspar","Sushi","COMBO  1 PRAWN",42.32763474181746,42.33282348181746,64.99,25.091941830912333,
"Springbok Superspar","Hot Foods","PIEMANS STEAK & KIDNEY ",17.331,17.409360000000003,32.99,39.31262806911185,
"Springbok Superspar","Hot Foods","COMBO 2XPIES ",35.303638888888884,35.43607386666667,60.0,32.08085842222223,
